k,nbprob
0             ,23178
1             ,4120
2             ,2442
3             ,951
4             ,472
5             ,257
6             ,181
7             ,110
8             ,90
9             ,64
10          ,40
12          ,22
14          ,19
15          ,18
20          ,10
22          ,7
25          ,6
26          ,6
28          ,5
45          ,1
50          ,1
